st,FCA_loan,Commodity Credit Corp_loan,FSA_loan,Farm Tenant Purchase_loan,REA_loan,Fed Res Bd_loan,USHA_loan,PWA loans_loan,RFC_loan,Disaster Loan Corp_loan,HOLC_loan,HOLC and Treas_loan,Total Loans_loan,Title I_loan,Title II_loan,Total Insured_loan,AAA,FSA,Other_ag,Bur of Rec,Rivers and Harbors,Natl Guard,CCC,SSA,NYA,Pub Bldgs,Pub Rds,PWA_fed,PWA_nonfed,USHA,WPA,VA,Misc ERA,Other,Total_exp
AL,38052000,99417000,16284000,2185000,2128000,709000,1311000,11092000,13663000,0,37863000,759000,223462000,6764000,15566000,22330000,94951000,11257000,6744000,0,12308000,3332000,39179000,6532000,3829000,1930000,33794000,4132000,12568000,3337000,74074000,52672000,75057000,6057000,441845000
AZ,22044000,9578000,1619000,43000,127000,272000,0,5027000,7786000,0,16210000,755000,63463000,6333000,9510000,15843000,9791000,2188000,9000000,42778000,0,1102000,54352000,3593000,814000,799000,19342000,17213000,5012000,0,24578000,31842000,26106000,1876000,250386000
AR,48235000,86199000,15767000,1774000,1647000,140000,0,11502000,29140000,408000,19355000,1792000,215920000,5303000,8522000,13825000,101917000,9355000,8479000,0,43226000,3387000,44657000,4997000,4024000,1976000,28167000,1814000,9018000,0,63473000,55676000,62876000,6500000,449542000
CA,265928000,25688000,6984000,317000,1473000,8387000,622000,19246000,375750000,656000,139269000,21826000,866145000,123115000,347958000,471073000,48789000,6603000,13853000,55497000,68737000,7113000,113623000,68863000,9825000,15341000,58253000,48974000,67079000,0,334637000,275169000,230697000,21742000,1445245000
CO,65462000,772000,11309000,301000,1193000,266000,0,1549000,14683000,1000,23236000,3425000,122196000,4713000,14041000,18754000,41807000,4671000,8309000,5483000,187000,2550000,42404000,19543000,2670000,1131000,25417000,7786000,13931000,2000,73391000,50207000,56578000,3628000,359635000
CT,15188000,0,445000,26000,0,1782000,70000,50000,13840000,954000,45311000,3204000,80919000,14607000,17673000,32280000,4239000,385000,2042000,0,4076000,4556000,15631000,9382000,2229000,2068000,9844000,12759000,19004000,1000,72583000,37758000,38879000,4852000,240287000
DE,2304000,0,73000,41000,384000,15000,0,159000,901000,0,5167000,0,9044000,2155000,4418000,6573000,2140000,223000,1456000,0,13785000,878000,6427000,1349000,205000,966000,5729000,2696000,2337000,0,7012000,4348000,3720000,752000,54024000
DC,0,0,0,0,0,463000,608000,7328000,18782000,0,12261000,50000,39493000,6044000,8945000,14989000,66111000,33794000,17416000,0,1458000,1298000,4225000,3132000,1015000,41875000,0,0,0,0,0,0,0,0,0
FL,35149000,3726000,5631000,218000,699000,221000,2597000,16634000,16276000,1000,31328000,11856000,124337000,13323000,45389000,58712000,11376000,5213000,3816000,0,47395000,2397000,23972000,7521000,2900000,3937000,19468000,4508000,10957000,1828000,71759000,52039000,71149000,4048000,344282000
GA,72668000,79338000,13848000,2251000,7068000,2255000,3714000,3285000,19882000,1000,34535000,4822000,243668000,10023000,29269000,39292000,96300000,4931000,8464000,0,10071000,3410000,51264000,6267000,4849000,2976000,30251000,10321000,11402000,5387000,79281000,62025000,78698000,8358000,474255000
ID,75257000,3233000,5576000,139000,2107000,22000,0,997000,4419000,39000,8369000,2326000,102984000,3833000,6455000,10288000,27714000,1738000,7700000,6105000,49000,1552000,56829000,5739000,1308000,821000,17322000,7092000,3496000,0,22039000,12955000,28216000,2183000,202859000
IL,224939000,106399000,7332000,1110000,4375000,3057000,918000,62341000,175679000,623000,285902000,21418000,894091000,41324000,113709000,155033000,131285000,3942000,6650000,0,61124000,9689000,76727000,39480000,13446000,13439000,69896000,11739000,79018000,17923000,493473000,178020000,274648000,25731000,1506231000
IN,112638000,6041000,6211000,694000,8456000,584000,417000,6392000,40763000,1200000,113609000,10112000,307078000,17821000,56801000,74622000,74854000,3163000,4338000,0,9788000,4999000,39129000,22020000,5223000,4294000,39837000,2361000,26159000,3980000,203966000,99636000,79978000,8506000,632231000
IA,264144000,152736000,7778000,1176000,8692000,98000,0,1814000,23327000,0,39529000,2593000,501887000,8368000,13684000,22052000,194108000,1382000,6945000,0,49031000,3501000,33092000,17827000,2882000,2777000,39605000,2327000,15305000,0,66341000,60721000,42941000,5031000,543815000
KS,172108000,8687000,11693000,701000,1621000,840000,0,5415000,10343000,0,34947000,5612000,251967000,4364000,21968000,26332000,179784000,7263000,6512000,0,11587000,2999000,25042000,6722000,4964000,2475000,37551000,4283000,15574000,0,80652000,58646000,59472000,5563000,509087000
