st,FCA_loan,Commodity Credit Corp_loan,FSA_loan,Farm Tenant Purchase_loan,REA_loan,Fed Res Bd_loan,PWA loans_loan,RFC_loan,Disaster Loan Corp_loan,HOLC_loan,HOLC and Treas_loan,Total Loans_loan,Title I_loans,Title II_loans,Total Insured_loan,AAA,Rur Rehab,Resettlement,Fed Surp Comm,Reg Soil Con,Land Util,Other Ag,CCC reg,CCC Indian,SSA,USES,NYA,Pub Health,Pub Bldg,Pub Rds,PWA_fed,PWA_nonfed,USHA,WPA,Bur of Rec,Rivers and Harbors,Natl Guard,VA,Misc ERA,Other,Total_exp
AL,7718,1441,4466,2510,2164,100,2416,3370,1324,346,0,25855,2588,6368,8956,26612,3687,174,1808,376,120,1086,4429,0,1790,654,2149,756,524,3248,610,3442,7,26107,0,2375,1426,9669,553,605,92207
AZ,4505,22,381,50,315,15,112,731,0,235,50,6416,1538,3228,4766,4499,1932,9,403,935,20,543,4430,1201,1847,251,406,104,66,2527,484,1392,0,5167,2255,0,362,5154,654,138,34779
AR,7709,59,4383,1989,2463,0,245,1338,0,242,0,18428,1550,3198,4748,27957,1497,187,2390,623,320,1052,5536,0,1092,432,1843,510,221,4103,5,1393,0,22082,0,8107,1348,8889,608,438,90633
CA,29594,664,1207,368,244,2090,573,41584,57,1311,0,77692,27102,125910,153012,24612,5167,25,5851,710,45,1640,12654,204,32513,4326,4426,1513,5603,5325,5564,9745,0,71183,31060,19840,2638,49291,4730,2003,300668
CO,10770,1631,2743,289,1530,24,166,317,0,385,0,17855,1621,7408,9029,11083,1049,83,878,805,1153,697,6167,75,8337,448,991,147,405,3504,2993,4553,0,16051,3647,1132,985,8358,1901,270,75712
CT,2973,0,142,0,0,290,0,674,94,1024,0,5197,3632,6711,10343,632,45,0,919,61,37,347,1582,0,2910,1347,1006,208,538,1242,1560,3548,1,15217,0,2651,1604,5928,694,189,42266
DE,428,0,79,45,381,0,0,0,0,76,0,1009,549,1399,1948,842,19,0,110,7,27,248,476,0,314,227,146,51,27,609,313,395,0,1789,0,1956,377,627,91,112,8763
DC,0,0,0,0,0,65,4123,206,0,179,0,4573,1154,2931,4085,5601,2778,448,640,0,0,92,475,115,845,570,1321,2858,9337,660,3541,3373,11,13898,0,1227,5100,23660,15928,37,92515
FL,6424,1336,878,251,860,20,886,1651,175,362,0,12843,5925,17996,23921,4792,1909,13,1143,129,273,594,2689,34,3314,621,1261,505,597,2313,1170,2410,7,23543,0,4711,795,10709,1397,286,65201
GA,9919,1462,4012,2589,4387,642,307,3365,223,585,0,26877,3299,10645,13944,24926,2130,18,2168,503,348,1144,4587,0,2110,876,2424,778,575,3494,486,4049,39,25580,0,1744,1356,10114,1413,653,91515
ID,12610,2677,2322,159,662,0,57,424,0,142,0,19053,1537,3249,4786,9508,1152,4,614,304,38,1070,8067,77,1560,258,641,105,210,1813,45,697,0,6549,1077,26,473,2037,796,184,37305
IL,26153,52843,1975,1270,8255,141,18,1184,114,5624,40,97581,14610,53566,68176,42844,518,3,8432,338,961,957,7909,2,17740,3522,5312,1077,1119,8448,4617,15634,2263,119587,0,7383,3250,27076,1959,1049,277474
IN,14963,4423,1690,755,6413,75,0,424,3,812,0,29558,5963,26306,32269,23072,520,63,1595,185,164,735,4588,0,9481,1761,2341,443,602,3716,1993,8625,84,41540,0,5525,1640,14967,838,597,125075
IA,18188,84037,1868,1349,6032,8,0,76,0,345,0,111903,2884,6412,9296,61465,465,4,1323,341,7,787,4587,5,6616,677,1766,283,433,3236,331,5158,0,16887,0,3440,996,8988,413,343,118551
KS,9588,15684,2812,853,2672,3,42,130,0,878,0,32578,1856,6738,8594,36254,1322,0,1906,431,227,638,2214,67,3917,466,1698,280,388,2831,690,4475,0,16325,0,3430,970,8868,1359,248,89004
KY,7197,363,1979,865,2503,61,70,222,90,356,0,13706,2018,4842,6860,11942,803,11,1796,143,128,962,4743,0,2736,831,2123,1387,374,2945,2091,3262,14,26597,0,3800,930,12803,1497,475,82393
LA,8846,1213,2985,1537,1216,0,31,585,0,413,0,16826,1987,7452,9439,24162,959,35,3446,427,94,773,4588,0,4037,766,2149,1420,2305,2750,21,4505,0,20220,0,20460,961,7459,517,461,102515
ME,1233,0,2119,35,66,0,0,73,0,153,0,3679,746,1325,2071,1965,219,1,1017,52,78,403,1424,0,2097,481,981,205,97,1477,221,718,0,5033,0,21,737,3815,527,113,21682
MD,3463,6,479,176,365,67,0,117,0,1753,120,6546,3874,11744,15618,2763,125,0,667,208,48,420,3322,0,3401,893,1077,2517,816,1644,5931,6130,0,8909,0,1160,1363,7851,1960,253,51458
MA,1479,609,187,15,0,833,0,581,88,3752,0,7544,7126,3403,10529,644,57,0,8545,1,0,402,3163,0,15554,3270,2845,957,2588,1807,1450,8684,28,68654,0,7437,3105,21017,2348,529,153085
MI,4436,407,2087,447,1915,0,183,9429,14,4645,200,23763,14633,66084,80717,11582,480,10,4921,147,38,1010,7118,0,11178,3141,3703,764,1033,4268,793,11781,39,67208,0,3972,1869,15228,1232,783,152298
MN,11991,30708,2550,876,5250,191,0,386,51,715,0,52718,4712,8394,13106,31044,665,16,2448,240,274,878,6644,325,9250,1217,2184,306,428,3639,182,8333,118,34014,0,824,1754,12459,927,433,118366
MS,12683,1283,4397,2613,3240,0,23,9100,40,248,0,33627,2098,3601,5699,33050,2100,40,3748,404,253,1073,4746,17,1122,400,1683,415,287,3139,48,3898,0,19966,0,8732,1158,8119,417,511,95326
MO,12222,10712,3345,1290,6084,270,52,5262,5,1481,8,40731,4314,16265,20579,28068,1423,7,3336,378,62,959,6643,0,9820,1558,2706,847,2348,4437,331,5440,0,51169,0,10186,1885,16268,1074,645,149590
MT,16217,8875,2667,147,634,0,1098,776,9,122,0,30545,1203,1991,3194,16109,1460,28,709,137,1167,835,4588,796,1723,276,621,255,208,3668,860,1886,0,8954,1290,7298,279,2809,1196,196,57348
NE,10870,12609,2583,804,2876,0,7323,322,0,698,0,38085,1407,3902,5309,36701,1158,44,1520,387,82,570,2373,90,3509,381,1075,67,287,3294,36,6645,39,17550,5,4969,522,4226,941,236,86629
NV,2498,0,96,8,25,0,0,180,1,22,0,2830,584,844,1428,276,29,0,102,171,0,307,3954,178,420,162,88,37,58,1626,156,134,0,1268,1655,0,65,652,142,124,11604
NH,439,0,322,10,200,0,0,1169,4,144,0,2288,628,1015,1643,468,58,0,739,3,0,333,1898,0,869,327,446,71,198,759,3,1197,0,4792,0,1301,488,1900,236,80,16166
NJ,3247,254,432,54,43,220,1961,6414,0,6635,600,19860,13450,32402,45852,1197,126,5,3882,161,0,451,3323,0,5669,2746,2770,356,764,2884,1349,9528,1,54786,0,2108,2204,12135,2366,511,109320
NM,6313,367,552,102,343,1,0,366,0,65,0,8109,611,2220,2831,6490,1079,11,474,1800,598,493,6485,350,719,203,679,385,52,1904,300,739,0,8250,1705,784,446,3393,407,563,38309
NY,11908,466,1978,271,832,65,15042,17504,24,19186,0,67276,33662,50487,84149,5732,310,2,13039,316,308,961,8858,49,21487,8224,9247,3179,2615,9728,4246,20243,63,137151,0,10936,5868,43231,4934,1644,312371
NC,10278,150,3119,1733,2929,53,762,1211,0,663,0,19374,2028,9296,11324,16260,1256,143,1453,479,68,1254,6169,64,3279,1071,2551,572,1009,5132,327,4624,0,23196,0,916,961,9741,1231,709,82465
