x,x1933,x1934,x1935,x1936,x1937,x1938
Reconstruction Finance Corp.,"$394,935 a/","$742,592 ","$93,305 ",$----,$----,$----
Farm Credit Administration,----,----,----,"14,692","16,690","17,290"
Farm Security Administration,----,----,----,----,----,"1,100"
Farm Tenant Purchase,----,----,----,----,----,"27,950"
Public Works Administration,----,----,"385,000","38,000",----,----
Home Owners' Loan Corporation,----,"1,024,246b/","34,513c/","234,206",350,845
HOLC & Treasury - Investments,----,----,----,----,"25,000",----
Federal Housing Administration,,,$ (e),"$254,152e/","$79,390 ","$20,425 "
Title I - Notes Insured,$----,----,(e),"520,014e/","846,656","888,500"
Title II - Mortgages Insured,----,----,$----,"$774,166 ","$926,046 ","$908,925 "
Agricultural Adjustment Admn.,"$7,336 ","$17,785 ","$13,340,777 ","$216,434 ","$1,061,169 ",
Agric. Experiment Stations,"24,000","25,919","28,000","32,297","54,593","56,890"
Agricultural Extension Work,"50,138","43,782","48,819","108,940","97,903","116,891"
Colleges Agr. & Mech. Arts,"50,000","50,000","50,000","70,000","71,501","73,003"
Forest Funds,"3,194","2,312","1,792","1,382","1,894","2,159"
Bureau of Public Roads,"1,507,215","1,150,362","1,514,211","958,581","1,491,513","777,242"
Civilian Conservation Corps,----,----,"736,066","1,327,152","720,830","589,640"
"Public Bldgs., Treasury Dept.","41,429","261,508","56,640","13,850","11,051","201,934"
Public Works Admin.(Non-Federal),----,----,"306,142","837,095","291,065","550,788"
Public Works Admn.(Federal),----,"3,701,444","7,640,078","1,868,126","46,708","48,009"
Emergency Relief Admn.,----,"1,866,021","2,358,000","2,414,339",----,"1,135"
Works Progress Administration,----,----,----,----,"2,574,497","2,050,259"
Social Security Act,----,----,----,"31,072","148,829","498,823"
"Rivers, Harbors, & Flood Control","$302,573 ","$648,044 ","$981,517 ","$124,880 ","$32,589 ","$385,676 "
Vocational educ. & Rehabilitation,"33,768","31,453","45,871","45,870","53,956","101,092"
Office of Education-ERA Funds,----,----,----,----,"1,765",----
U.S. Employment Service,----,----,----,----,----,"6,347"
Books for the Blind,216,262,297,256,211,244
National Guard,"195,402","132,675","181,614","226,075","225,443","270,607"
Veterans' Administration,"443,435","257,957","292,876","293,471","232,642","242,180"
Balance from Relief Acts,----,----,----,"868,326","1,702,839","1,653,294"
