x,x1933,x1934,x1935,x1936,x1937,x1938
Reconstruction Finance Corp.,394935,742592,93305,0,0,0
Farm Credit Administration,0,0,0,14692,16690,17290
Farm Security Administration,0,0,0,0,0,1100
Farm Tenant Purchase,0,0,0,0,0,27950
Public Works Administration,0,0,385000,38000,0,0
Home Owners' Loan Corporation,0,1024246,34513,234206,350,845
HOLC & Treasury - Investments,0,0,0,0,25000,0
Federal Housing Administration,0,0,0,2541520,79390,20425
Title I - Notes Insured,0,0,0,5200140,846656,888500
Title II - Mortgages Insured,0,0,0,774166,926046,908925
Agricultural Adjustment Admn.,7336,17785,13340777,216434,1061169,0
Agric. Experiment Stations,24000,25919,28000,32297,54593,56890
Agricultural Extension Work,50138,43782,48819,108940,97903,116891
Colleges Agr. & Mech. Arts,50000,50000,50000,70000,71501,73003
Forest Funds,3194,2312,1792,1382,1894,2159
Bureau of Public Roads,1507215,1150362,1514211,958581,1491513,777242
Civilian Conservation Corps,0,0,736066,1327152,720830,589640
"Public Bldgs., Treasury Dept.",41429,261508,56640,13850,11051,201934
Public Works Admin.(Non-Federal),0,0,306142,837095,291065,550788
Public Works Admn.(Federal),0,3701444,7640078,1868126,46708,48009
Emergency Relief Admn.,0,1866021,2358000,2414339,0,1135
Works Progress Administration,0,0,0,0,2574497,2050259
Social Security Act,0,0,0,31072,148829,498823
"Rivers, Harbors, & Flood Control",302573,648044,981517,124880,32589,385676
Vocational educ. & Rehabilitation,33768,31453,45871,45870,53956,101092
Office of Education-ERA Funds,0,0,0,0,1765,0
U.S. Employment Service,0,0,0,0,0,6347
Books for the Blind,216,262,297,256,211,244
National Guard,195402,132675,181614,226075,225443,270607
Veterans' Administration,443435,257957,292876,293471,232642,242180
Balance from Relief Acts,0,0,0,868326,1702839,1653294
