st,Ag,Int,War,CCC,SSA,NYA,FWA,PWA,WPA,VA,Misc_ERA,Other,Ag_loan,FRB_loan,FWA_loan,FLA_loan,FHA_loan
AK,2932000,0,1633000,3637000,940000,10000,1795000,5306000,21000,803000,5632000,5417000,189000,0,548000,2086000,1667000
AL,146815000,0,19441000,43608000,8976000,5978000,42833000,20752000,100181000,62341000,75610000,6662000,176365000,809000,14819000,57325000,31286000
AR,153777000,0,56068000,50193000,6521000,5867000,34467000,12230000,85555000,64565000,63484000,6938000,170225000,140000,11747000,52275000,18573000
AZ,29320000,45033000,1464000,59983000,5691000,1220000,22734000,24101000,29745000,36996000,26760000,2014000,38684000,287000,5139000,25767000,20609000
CA,107295000,86557000,98328000,126481000,105702000,14251000,84522000,131362000,405820000,324460000,235427000,23745000,332467000,10477000,20441000,580453000,624085000
CO,70535000,9130000,4854000,48646000,28328000,3661000,30459000,29263000,89442000,58565000,58479000,3898000,96000000,290000,1715000,42047000,27783000
CT,8707000,0,12887000,17213000,13639000,3235000,13693000,36871000,87800000,43686000,39573000,5041000,18774000,2072000,120000,65101000,42623000
DC,126880000,0,9083000,4815000,4547000,2336000,58190000,95313000,70798000,165233000,117420000,2451000,0,528000,12059000,31478000,19074000
DE,5072000,0,16996000,6903000,1890000,351000,7331000,5741000,8801000,4975000,3811000,864000,3735000,15000,159000,6144000,8521000
FL,29258000,0,55298000,26695000,11456000,4161000,28143000,19045000,95302000,62748000,72546000,4334000,55172000,241000,20117000,61649000,82633000
GA,140932000,0,16581000,55851000,9253000,7273000,42683000,26258000,104861000,72139000,80111000,9011000,197542000,2897000,6692000,63413000,53236000
HI,38463000,0,7434000,4688000,1740000,180000,9783000,17707000,8008000,2246000,11065000,11155000,1056000,0,200000,2551000,5850000
IA,266827000,0,56968000,37684000,25120000,4648000,46051000,23121000,83228000,69709000,43354000,5374000,546000000,106000,1814000,65870000,31348000
ID,49842000,7182000,2100000,64973000,7557000,1949000,20166000,11330000,28588000,14992000,29012000,2367000,104742000,22000,1054000,15719000,15074000
