st,le
AK,32616000
AL,813801000
AR,792625000
AZ,375547000
CA,3311873000
CO,603095000
CT,411035000
DC,720205000
DE,81309000
FL,628798000
GA,888733000
HI,122126000
IA,1307222000
ID,376669000
IL,2999773000
IN,1200345000
KS,917284000
KY,700821000
LA,776722000
MA,1315151000
MD,563304000
ME,270261000
MI,1925619000
MN,1241524000
MO,1352490000
MS,811614000
MT,603506000
NC,760381000
ND,569692000
NE,845266000
NH,128164000
NJ,1401729000
NM,327822000
NV,143157000
NY,4442653000
OH,2597938000
OK,944878000
OR,572639000
PA,2697774000
PC,10076000
PI,37121000
PR,236211000
RI,190177000
SC,590107000
SD,540258000
TN,804770000
TX,2404674000
UT,311367000
VA,673320000
VI,9850000
VT,143395000
WA,966479000
WI,1217115000
WV,484793000
WY,224525000
