x,x1933,x1934,x1935,x1936,x1937,x1938,total per program
Reconstruction Finance Corp.,1929174,1432835,649038,277649,169301,127643,4585640
Farm Credit Administration,89342,1017739,1115586,517691,416509,407725,3564592
Commodity Credit Administration,0,271213,328776,12429,211,126237,738866
Farm Security Administration,0,0,0,77968,71134,68235,217337
Farm Tenant Purchase,0,0,0,0,0,9128,9128
Rural Electrification Administration,0,0,0,576,11487,47977,60040
Public Works Administration,0,74471,160442,143475,54766,33600,466754
Disaster Loan Corporation,0,0,0,0,3789,3084,6873
Fed. Res. Bks - Loans and Commitments to Industry,0,0,61477,31335,11312,9612,113736
Home Owners' Loan Corporation,0,2184060,473309,440871,14083,21453,3133776
HOLC and Treasury - Investments in Bldg. and Savings and Loan Associations,0,10725,19881,81755,118839,28325,259525
Federal Housing Administration,0,0,0,395883,164868,51145,611896
Title I - Notes Insured,0,0,0,304993,463050,419468,1187511
Title II - Mortgages Insured,0,0,0,700876,627918,470613,1799407
Agricultural Adjustment Administration,0,359374,823862,515179,575433,328263,2602111
Farm Security Administration,0,0,0,28845,114948,78613,222406
Soil Conservation Service,0,1089,10051,24576,32587,27764,96067
Agric. Experiment Stations,4359,4359,4384,4992,5611,6229,29934
Agricultural Extension Work,8609,8352,8581,18615,16393,17252,77802
Colleges for Agric. and Mechanic Arts,2550,2550,2550,3530,4030,4530,19740
Forest Protective Funds,2115,2195,2356,2319,2574,2780,14339
Forest Service (Roads),0,0,0,0,10012,13198,23210
Bureau of Public Roads,163398,221715,274668,224073,337747,218637,1440238
Civilian Conservation Corps,14240,300197,326301,570296,369937,262723,1843694
Indian Service - CCC Work,0,9574,11171,9382,8119,7971,46217
Bureau of Reclamation,0,19138,39868,49433,53417,63628,225484
Public Buildings - Treasury Department,105599,71701,28581,31600,46669,63328,347478
Public Works Admn.-Non-Federal Projects,0,1820,34913,209747,244458,177187,668125
Public Works Admn.-Federal Projects e/,0,152088,251965,171468,74176,40982,690679
Public Works Admn.-Housing,0,5,8802,21627,50062,47238,127734
Federal Emergency Relief Administration,0,740508,1857490,476513,1722,484,3076717
Civil Works Administration,0,812713,0,0,0,0,812713
Works Progress Admn. and NYA,0,0,0,1305803,1899069,1478858,4683730
Social Security Act,0,0,0,33975,166820,274957,475752
"Rivers, Harbors, and Flood Control",116586,153133,201257,225558,233976,199056,1129566
Mineral Lease Act Payments,1208,1215,1202,1471,1632,1945,8673
Special Funds,205,258,257,282,303,492,1797
Vocational Education and Rehabilitation,8718,7861,11051,10456,11280,21220,70586
Office of Education - ERA Act funds,0,0,0,191,1751,377,2319
United States Employment Service,0,1806,7725,13982,16606,25231,65350
State Marine Schools,100,100,100,75,100,75,550
Books for Blind (Am.Print'g.Hse.for Blind),75,75,75,75,75,75,450
Federal Water Power Act Payments,76,75,65,65,15,15,311
State Homes for Soldiers and Sailors,717,520,487,537,535,650,3446
Federal Surplus Commodities Corp. h/,0,0,0,0,0,62210,62210
National Guard,32371,21080,22343,29293,36491,38790,180368
Veterans' Administration,804873,519580,582365,602273,579333,581870,3670294
Balance from ERA Acts i/,0,0,0,101463,142271,104088,347822
