x,x1933,x1934,x1935,x1936,x1937,x1938
Reconstruction Finance Corp.,1929174,1432835,649038,277649,169301,127643
Farm Credit Administration,89342,1017739,1115586,517691,416509,407725
Commodity Credit Administration,0,271213,328776,12429,211,126237
Farm Security Administration,0,0,0,77968,71134,68235
Farm Tenant Purchase,0,0,0,0,0,9128
Rural Electrification Administration,0,0,0,576,11487,47977
*Public Works Administration,0,74471,160442,143475,54766,33600
Disaster Loan Corporation,0,0,0,0,3789,3084
Fed. Res. Bks - Loans and Commitments to Industry,0,0,61477,31335,11312,9612
Home Owners' Loan Corporation,0,2184060,473309,440871,14083,21453
HOLC and Treasury - Investments in Bldg. and Savings and Loan Associations,0,10725,19881,81755,118839,28325
TOTAL REPAYABLE,2018516,4991043,2808509,1583753,871431,883019
Loans Insured,0,0,0,0,0,0
Federal Housing Administration,0,0,0,395883,164868,51145
Title I - Notes Insured,0,0,0,304993,463050,419468
Title II - Mortgages Insured,0,0,0,700876,627918,470613
TOTAL INSURED e/,0,0,0,0,0,0
"Grants, Payments Expenditures",0,0,0,0,0,0
Agricultural Adjustment Administration,0,359374,823862,515179,575433,328263
Farm Security Administration,0,0,0,28845,114948,78613
Soil Conservation Service,0,1089,10051,24576,32587,27764
*Agric. Experiment Stations,4359,4359,4384,4992,5611,6229
*Agricultural Extension Work,8609,8352,8581,18615,16393,17252
*Colleges for Agric. and Mechanic Arts,2550,2550,2550,3530,4030,4530
*Forest Protective Funds,2115,2195,2356,2319,2574,2780
Forest Service (Roads),0,0,0,0,10012,13198
*Bureau of Public Roads,163398,221715,274668,224073,337747,218637
Civilian Conservation Corps,14240,300197,326301,570296,369937,262723
Indian Service - CCC Work,0,9574,11171,9382,8119,7971
Bureau of Reclamation,0,19138,39868,49433,53417,63628
