state,year, pop ,source,,
Alaska,1940," 72,524 ",sa41,,
Alaska,1930," 59,728 ",sa41,,
Hawaii,1930," 368,336 ",sa41,,
Hawaii,1940," 423,330 ",sa41,,
Panama Canal,1930," 39,467 ",sa41,,
Panama Canal,1940," 51,827 ",sa41,,
Puerto Rico,1930," 1,543,913 ",sa41,,
Puerto Rico,1940," 1,869,255 ",sa41,,
Virgin Islands,1930," 22,012 ",sa41,,
Virgin Islands,1940," 24,889 ",sa41,,
Philippines,1930," 13,513,000 ",sa41,,Stat Abs 1941 
Philippines,1940," 16,356,000 ",sa41,,Table no. 3 Area and Population of Continental United States and Outlying Territories and Possessions: 1930 and 1940
Alabama,1930," 2,646,248 ",nhgisaf14,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015086968859&seq=46&q1=Puerto+Rico
Alaska Territory,1930," 59,278 ",nhgisaf14,,
Arizona,1930," 435,573 ",nhgisaf14,,
Arkansas,1930," 1,854,482 ",nhgisaf14,,
California,1930," 5,677,251 ",nhgisaf14,,
Colorado,1930," 1,035,791 ",nhgisaf14,,
Connecticut,1930," 1,606,903 ",nhgisaf14,,
Delaware,1930," 238,380 ",nhgisaf14,,
District of Columbia,1930," 486,869 ",nhgisaf14,,
Florida,1930," 1,468,211 ",nhgisaf14,,
Georgia,1930," 2,908,506 ",nhgisaf14,,
Hawaii Territory,1930," 368,336 ",nhgisaf14,,
Idaho,1930," 445,032 ",nhgisaf14,,
Illinois,1930," 7,630,654 ",nhgisaf14,,
Indiana,1930," 3,238,503 ",nhgisaf14,,
Iowa,1930," 2,470,939 ",nhgisaf14,,
Kansas,1930," 1,880,999 ",nhgisaf14,,
Kentucky,1930," 2,614,589 ",nhgisaf14,,
Louisiana,1930," 2,101,593 ",nhgisaf14,,
Maine,1930," 797,423 ",nhgisaf14,,
Maryland,1930," 1,631,526 ",nhgisaf14,,
Massachusetts,1930," 4,249,614 ",nhgisaf14,,
Michigan,1930," 4,842,325 ",nhgisaf14,,
Minnesota,1930," 2,563,953 ",nhgisaf14,,
Mississippi,1930," 2,009,821 ",nhgisaf14,,
Missouri,1930," 3,629,367 ",nhgisaf14,,
Montana,1930," 537,606 ",nhgisaf14,,
Nebraska,1930," 1,377,963 ",nhgisaf14,,
Nevada,1930," 91,058 ",nhgisaf14,,
New Hampshire,1930," 465,293 ",nhgisaf14,,
New Jersey,1930," 4,041,334 ",nhgisaf14,,
New Mexico,1930," 423,317 ",nhgisaf14,,
New York,1930," 12,588,066 ",nhgisaf14,,
North Carolina,1930," 3,170,276 ",nhgisaf14,,
North Dakota,1930," 680,845 ",nhgisaf14,,
Ohio,1930," 6,646,697 ",nhgisaf14,,
Oklahoma,1930," 2,396,040 ",nhgisaf14,,
Oregon,1930," 953,786 ",nhgisaf14,,
Pennsylvania,1930," 9,631,350 ",nhgisaf14,,
Rhode Island,1930," 687,497 ",nhgisaf14,,
South Carolina,1930," 1,738,765 ",nhgisaf14,,
South Dakota,1930," 692,849 ",nhgisaf14,,
Tennessee,1930," 2,616,556 ",nhgisaf14,,
Texas,1930," 5,824,715 ",nhgisaf14,,
Utah,1930," 507,847 ",nhgisaf14,,
Vermont,1930," 359,611 ",nhgisaf14,,
Virginia,1930," 2,421,851 ",nhgisaf14,,
Washington,1930," 1,563,396 ",nhgisaf14,,
West Virginia,1930," 1,729,205 ",nhgisaf14,,
Wisconsin,1930," 2,939,006 ",nhgisaf14,,
Wyoming,1930," 225,565 ",nhgisaf14,,
Alabama,1940," 2,832,961 ",nhgisaf14,,
Alaska Territory,1940," 72,524 ",nhgisaf14,,
Arizona,1940," 499,261 ",nhgisaf14,,
Arkansas,1940," 1,949,387 ",nhgisaf14,,
California,1940," 6,907,387 ",nhgisaf14,,
Colorado,1940," 1,123,296 ",nhgisaf14,,
Connecticut,1940," 1,709,242 ",nhgisaf14,,
Delaware,1940," 266,505 ",nhgisaf14,,
District Of Columbia,1940," 663,091 ",nhgisaf14,,
Florida,1940," 1,897,414 ",nhgisaf14,,
Georgia,1940," 3,123,723 ",nhgisaf14,,
Hawaii Territory,1940," 422,770 ",nhgisaf14,,
Idaho,1940," 524,873 ",nhgisaf14,,
Illinois,1940," 7,897,241 ",nhgisaf14,,
Indiana,1940," 3,427,796 ",nhgisaf14,,
Iowa,1940," 2,538,268 ",nhgisaf14,,
Kansas,1940," 1,801,028 ",nhgisaf14,,
Kentucky,1940," 2,845,627 ",nhgisaf14,,
Louisiana,1940," 2,363,880 ",nhgisaf14,,
Maine,1940," 847,226 ",nhgisaf14,,
Maryland,1940," 1,821,244 ",nhgisaf14,,
Massachusetts,1940," 4,316,721 ",nhgisaf14,,
Michigan,1940," 5,256,106 ",nhgisaf14,,
Minnesota,1940," 2,792,300 ",nhgisaf14,,
Mississippi,1940," 2,183,796 ",nhgisaf14,,
Missouri,1940," 3,784,664 ",nhgisaf14,,
Montana,1940," 559,456 ",nhgisaf14,,
Nebraska,1940," 1,315,834 ",nhgisaf14,,
Nevada,1940," 110,247 ",nhgisaf14,,
New Hampshire,1940," 491,524 ",nhgisaf14,,
New Jersey,1940," 4,160,165 ",nhgisaf14,,
New Mexico,1940," 531,818 ",nhgisaf14,,
New York,1940," 13,479,142 ",nhgisaf14,,
North Carolina,1940," 3,571,623 ",nhgisaf14,,
North Dakota,1940," 641,935 ",nhgisaf14,,
Ohio,1940," 6,907,612 ",nhgisaf14,,
Oklahoma,1940," 2,336,434 ",nhgisaf14,,
Oregon,1940," 1,089,684 ",nhgisaf14,,
Pennsylvania,1940," 9,900,180 ",nhgisaf14,,
Rhode Island,1940," 713,346 ",nhgisaf14,,
South Carolina,1940," 1,899,804 ",nhgisaf14,,
South Dakota,1940," 642,961 ",nhgisaf14,,
Tennessee,1940," 2,915,841 ",nhgisaf14,,
Texas,1940," 6,414,824 ",nhgisaf14,,
Utah,1940," 550,310 ",nhgisaf14,,
Vermont,1940," 359,231 ",nhgisaf14,,
Virginia,1940," 2,677,773 ",nhgisaf14,,
Washington,1940," 1,736,191 ",nhgisaf14,,
West Virginia,1940," 1,901,974 ",nhgisaf14,,
Wisconsin,1940," 3,137,587 ",nhgisaf14,,
Wyoming,1940," 250,742 ",nhgisaf14,,
