x,x1933,x1934,x1935,x1936,x1937,x1938
Reconstruction Finance Corp.,1105306,2242000,412000,120700,364868,25186
Farm Credit Administration,23400,51300,2242011,2955596,2640532,2975483
Public Works Administration,0,0,30000,379000,1507000,0
Home Owners' Loan Corporation,0,0,0,1725013,35,2130
Federal Housing Administration,0,0,0,18980,0,0
Title I - Notes Insured,0,0,0,18980,0,0
Agricultural Adjustment Admn.,0,0,1214676,13004080,4218685,1344146
Farm Security Administration,0,0,0,0,0,799097
Soil Conservation Service,0,0,0,9387,16519,60867
Agric. Experiment Stations,0,0,25000,39479,53951,72928
Agricultural Extension Work,0,0,70000,69644,78101,93498
Colleges Agric. & Mech. Arts Forest Funds,50000,50000,50000,50000,50000,50000
Forest Service (Roads),2221,1540,1690,1674,2097,1807
Bureau of Public Roads,0,0,0,0,28,1508
Civilian Conservation Corps,0,0,0,0,0,343978
"Public Bldgs., Treasury Dept.",122476,35226,731,22784,119351,959488
Public Works Admn.(Non-Federal),0,0,0,44800,290901,2437
Public Works Admn.(Federal),0,37855,71333,109931,7944,0
Public Works Admn.(Housing),0,0,0,39371,379663,125373
Fed. Emergency Relief Admn.,0,7371201,11991678,10054034,0,0
Works Progress Administration,0,0,0,0,32238,38081
Puerto Rico Reconstruction Admin.,0,0,0,6310325,21560101,12028649
Occational Educ. & Rehabilitation,43876,61690,109533,99425,114820,226379
"Rivers, Harbors, & Flood Control",30932,236230,946294,617740,146455,43685
Books for the Blind,564,512,0,500,586,558
Fed. Water Power Act Payments,67,147,147,147,13,13
National Guard,191432,96640,148173,192364,213887,294426
Veterans' Administration,1556920,778516,879230,1006334,1066970,1147589
Balance from Relief Acts e/,0,0,0,448621,663223,1165589
