x,x1933,x1934,x1935,x1936,x1937,x1938
Reconstruction Finance Corp.,0,0,124000,1000,0,0
"Grants, Payments and Expenditures",0,0,0,0,0,0
Farm Security Administration,0,0,0,0,0,17302
Civilian Conservation Corps,0,0,41720,181832,126474,144430
"Public Bldgs., Treasury Dept.",0,0,21,570,36158,155328
*Public Works Admin.(Non-Federal),0,0,0,70871,41067,0
Public Works Admin.(Federal),0,209358,752681,495536,835390,602292
Public Works Admin.(Housing),0,0,0,37143,165737,25594
*Fed. Emergency Relief Admin.,0,0,497700,153357,0,22654
*Works Progress Administration,0,0,0,0,3993,22
Fed. Surplus Commodities Corp.,0,0,0,0,0,34000
"Rivers, Harbors, & Flood Control",0,0,23745,130455,0,0
Veterans' Administration,13354,9774,13130,13692,9164,9725
Balance from Relief Acts b/,0,0,0,152759,473492,426480
